Primary_Key,URL
10391,"https://bit.ly/2NcNdIN, https://bit.ly/2Gx7YOJ, https://bit.ly/2Gvn6wc"
10392,"https://bit.ly/2Nez7tH, https://bit.ly/2xn9TyE, https://bit.ly/2xct5jh"
10393,"https://bit.ly/2NuWrP1, https://bit.ly/2E80IbP"
10394,"https://bit.ly/2NwTKSd, https://bit.ly/2DfIlkR"
10395,https://bit.ly/2NxqgiP
10396,"https://bit.ly/2OC4KcR, https://bit.ly/2NWUnjy"
10397,https://bit.ly/2OFQIaS
10398,https://bit.ly/2OMAWPs
10399,"https://bit.ly/2OUJy5N, https://bit.ly/2CgPwXP"
10400,https://bit.ly/2OiyleI
10401,https://bit.ly/2OjLlhJ
10402,"https://bit.ly/2PED609, https://bit.ly/2BS9BFq"
10403,https://bit.ly/2PNC6df
10404,https://bit.ly/2PRZ9zJ
10405,https://bit.ly/2PTdHnp
10406,"https://bit.ly/2QBL7mG, https://bit.ly/2OCsjSB"
10407,"https://bit.ly/2QFKo7i, https://bit.ly/2QklBq1"
10408,https://bit.ly/2QZJ4cs
10409,"https://bit.ly/2QcSy33, https://bit.ly/2NElVtu"
10410,"https://bit.ly/2QcSy33, https://bit.ly/2OiyleI, https://bit.ly/2NElVtu"
10411,https://bit.ly/2QjDzUY
10412,"https://bit.ly/2QukfYT, https://bit.ly/2QzbNrw"
10413,https://bit.ly/2RHI3t5
10414,"https://bit.ly/2RfKr65, https://bit.ly/2DDtIWL"
10415,"https://bit.ly/2Rv00rv, https://bit.ly/2Q7zcB3, https://bit.ly/2zwV8uY"
10416,"https://bit.ly/2SDCBE9, https://bit.ly/2ElnqfP"
10417,"https://bit.ly/2SffgfH, https://bit.ly/2SkyEHW, https://bit.ly/2Gs2rbE"
10418,"https://bit.ly/2T5Uxwd, https://bit.ly/2EflH9l"
10419,"https://bit.ly/2TL8ITj, https://bit.ly/2tkUcpN"
10420,https://bit.ly/2TN0V7k
10421,https://bit.ly/2UQfBTy
10422,"https://bit.ly/2UXrUi1, https://bit.ly/2QIgVdv"
10423,https://bit.ly/2UfVEpM
10424,"https://bit.ly/2UyiBVA, https://bit.ly/2B2EHGC"
10425,"https://bit.ly/2VC7MSW, https://bit.ly/2EPIri3, https://bit.ly/2CUgZi4"
10426,https://bit.ly/2jWdBIU
10427,"https://bit.ly/2k2WWnc, https://bit.ly/2k4yEJJ, https://bit.ly/2L8OSxJ"
10428,https://bit.ly/2nOKSrI
10429,https://bit.ly/2nRFQL7
10430,"https://bit.ly/2o2Asol, https://bit.ly/2BFiNg4"
10431,https://bit.ly/2o2VRhi
10432,https://bit.ly/2oKGTNj
10433,"https://bit.ly/2ocBdeD, https://bit.ly/2NnwphF"
10434,https://bit.ly/2ozQ2YR
10435,"https://bit.ly/2p5d3mO, https://bit.ly/2N6im3T"
10436,https://bit.ly/2pFmOI5
10437,"https://bit.ly/2pHNXKD, https://bit.ly/2Gh6STN"
10438,"https://bit.ly/2pPq6sj, https://bit.ly/2IZoMMl"
10439,https://bit.ly/2qDbJJ0
10440,https://bit.ly/2r6Q4bU
10441,"https://bit.ly/2tI14O6, https://bit.ly/2IvAFrX, https://bit.ly/2Klqrzx"
10442,https://bit.ly/2uJlgjL
10443,https://bit.ly/2uRuo66
10444,https://bit.ly/2uSzvSs
10445,https://bit.ly/2v3hXmS
10446,"https://bit.ly/2wJHhma, https://bit.ly/2rHFtnB"
10447,https://bit.ly/2wsIt9Y
10448,https://bit.ly/2xbARcq
10449,https://bit.ly/2xhMGyp
10450,"https://bit.ly/2yuPrjc, https://bit.ly/2JYesb1, https://bit.ly/2I9EfYR"
10451,"https://bit.ly/2z48GA8, https://bit.ly/2Kyx0ia"
10452,https://bit.ly/2zlmwf7
10453,https://canal6.com.hn/encuentran-a-hondureno-ahogado-en-el-rio-bravo-en-mexico.html
10454,"https://goo.gl/afHw1T, https://bit.ly/2DY9wMc"
10455,https://m.facebook.com/photo.php?fbid=1050253775032319
10456,"https://reut.rs/2S4rYdW, https://bit.ly/2R837Zs, https://bit.ly/2QJm2dP"
10457,https://t.co/DabSx6P4Rv
10458,"https://tlmdo.co/2CxHqJM, https://bit.ly/2CnIwaU"
10459,https://twitter.com/GRUPO_SIENO/status/530112433151823872
10460,"https://usat.ly/2JWDvrJ, https://abcn.ws/2MAZJRR"
10461,https://usat.ly/2v8DzB7
10462,https://www.facebook.com/1800Migrante/photos/pcb.1721094974648051/1721092261314989/?type=3&theater
10463,https://www.facebook.com/Desaparecidosysinreclamarenlafrontera/posts/1833316786978261
10464,https://www.facebook.com/ElBuscaPersonas/posts/1167528716638157:0
10465,
