port_year_concat,port_code,port_name,port_state,port_lat,port_lng,year_reported,fatalities,missing,casualties,survivors,female_casualties,male_casualties,child_casualties,pedestrian_x,passenger_x_bus,passenger_x_train,passenger_x_personal_vehicle,passenger_x_any,pedestrian_and_passenger_x,personal_vehicles,buses,trains,trucks,rail_containers_full,rail_containers_empty,truck_containers_full,truck_containers_empty
2582|2018,2582,Cross Border Xpress,California,32.54722,-116.975,2018,,,,,,,,1279074,,,,0,1279074,,,,,,,,
2601|2014,2601,Douglas,Arizona,31.344439999999995,-109.54472,2014,2,0,2,0,,1,,1011564,13442,0,2821853,2835295,3846859,1571929,2267,0,33104,0,0,17701,13032
2601|2015,2601,Douglas,Arizona,31.344439999999995,-109.54472,2015,,,,,,,,1069031,19282,0,2850942,2870224,3939255,1591184,2818,0,32104,0,0,17478,12652
2601|2016,2601,Douglas,Arizona,31.344439999999995,-109.54472,2016,,,,,,,,851997,30029,0,2908282,2938311,3790308,1614882,2787,0,30815,0,0,17366,12904
2601|2017,2601,Douglas,Arizona,31.344439999999995,-109.54472,2017,,,,,,,,854502,25896,,3192199,3218095,4072597,1765505,2545,,30649,,,26292,9561
2601|2018,2601,Douglas,Arizona,31.344439999999995,-109.54472,2018,2,0,2,,,2,,847568,25339,,3098512,3123851,3971419,1727192,2501,,27804,,,21044,6762
2602|2014,2602,Lukeville,Arizona,31.8825,-112.815,2014,5,0,5,0,1,2,,44716,2679,0,653483,656162,700878,316429,498,0,68,0,0,0,0
2602|2015,2602,Lukeville,Arizona,31.8825,-112.815,2015,,,,,,,,48627,2668,0,751471,754139,802766,343722,503,0,106,0,0,0,0
2602|2016,2602,Lukeville,Arizona,31.8825,-112.815,2016,158,0,158,,12,137,,45995,2724,0,887287,890011,936006,366028,504,0,154,0,0,0,0
2602|2017,2602,Lukeville,Arizona,31.8825,-112.815,2017,96,0,96,10,3,85,,43051,2607,,999688,1002295,1045346,383192,483,,206,,,200,7
2602|2018,2602,Lukeville,Arizona,31.8825,-112.815,2018,59,0,59,,4,38,,46499,2874,,1061111,1063985,1110484,411228,532,,298,,,282,16
